46 dev Id: fc093f72a9097bb973c7370ec42b55a1 | Hex Buffer: 0600010f20229f8fdecbd14c65ea323142ee11c3962822a004ebeb87c4 | Primer Entero: 251723782 
47 dev Id: 216109a54503cfa816cd45e62ae6ea29 | Hex Buffer: 4c0016080086796e8313f1a6 | Primer Entero: 135659596 
48 dev Id: a091a2909dda2d975e3757c32ba99c7a | Hex Buffer: 4c000c0e004914c57f97156016b2c236d31c1006401d4e304308 | Primer Entero: 235667532 
43 dev Id: d79da2fb9f06ced1018e668ce52cafca | Hex Buffer: 0600010920225d358b0f0be0dcd01399ce311fbc78661dab67abeb58ff | Primer Entero: 151060486 
42 dev Id: 00a6143f5463bf52e11cbef853c066e5 | Hex Buffer: 4c000c0e00dd71f8d9feb6657a15a4a20db91006411d09720318 | Primer Entero: 235667532 
50 dev Id: ea43a268ff73b5bfb5f7dc0511bbdbe8 | Hex Buffer: 4c00160800877cb5276d8fcf | Primer Entero: 135659596 
51 dev Id: 9a3c866c7980e6b53c75427e5bd80149 | Hex Buffer: 4c00160800647e9b230e03de | Primer Entero: 135659596 
49 dev Id: 7cf380957e8f200876e846736f972d7a | Hex Buffer: 4c0016080027190c41fddc68 | Primer Entero: 135659596 
52 dev Id: 8c9e757f539f421e1af92b54f7bc9c04 | Hex Buffer: 4c00100641190d7ab218 | Primer Entero: 101711948 
53 dev Id: 134e7885ea37ff509e19e8cade9998d1 | Hex Buffer: 4c001006441dc386c148 | Primer Entero: 101711948 
54 dev Id: 7c0b23b9f42694b1b3e7d476553fadcb | Hex Buffer: 4c000908136c0a6d44981b58160800017811c8c1b16d | Primer Entero: 134807628 
55 dev Id: 67d4edbe79b49a3d5adb7b68fc5fb4e9 | Hex Buffer: 4c0010050998460314 | Primer Entero: 84934732 
58 dev Id: 28082bfbbd01aec2543b59106521c129 | Hex Buffer: 750042040180668cea485ae5898eea485ae58801450000000000 | Primer Entero: 71434357 
56 dev Id: d51f8116f6764adfb722c8f1a2913eff | Hex Buffer: 4c000719010e2022f98f000005941d2d1683371990a88800709c3663f4 | Primer Entero: 419889228 
57 dev Id: 51bc65397011acc1b95cebaa47f0734f | Hex Buffer: 4c00090813cc0a6d44e51b58160800a6a2fbf8e09d09 | Primer Entero: 134807628 
59 dev Id: 6d94370540a20e8728ba8680ccdd70b3 | Hex Buffer: 4c00160800795a8fb5105d86 | Primer Entero: 135659596 
60 dev Id: bce7da1d7330e4e119c9ddd5feb53492 | Hex Buffer: 060001092022e8ef6d6fe0fe7aedc6eabe46cb5d157625839b1d8369f3 | Primer Entero: 151060486 
61 dev Id: 47cc23a64137092246fe45407f18ac58 | Hex Buffer: 0600010920024f25c05ca59ca21a540d47a41653844c8e8b167bd2ccf2 | Primer Entero: 151060486 
62 dev Id: ba609a4225e3f3f7000a51e3dcdb8add | Hex Buffer: 060001092022e0674db15b2d76446bed4855ed61f29071fc63b8f2e130 | Primer Entero: 151060486 
63 dev Id: 7135e824c0311e9c577b9f3fc3f4f435 | Hex Buffer: 4c001006461d80c2e538 | Primer Entero: 101711948 
64 dev Id: f09b3993b698a8d82aac4ff7cead9e77 | Hex Buffer: 4c00090813020a6d45091b581608005ea541514b7ca7 | Primer Entero: 134807628 
65 dev Id: 8e1a1b5fdfb55236b8b5d0bba898192d | Hex Buffer: 0600010920228c66cbe6a7063db41397a7359f17ccfa8493679b6818df | Primer Entero: 151060486 
66 dev Id: 5b200c119b0be236c3ed2adc8ee0de35 | Hex Buffer: 4c0016080041476ea3c8d0ee | Primer Entero: 135659596 
68 dev Id: 28340def11433e2997713998b745ec06 | Hex Buffer: 4c001006241e24637657 | Primer Entero: 101711948 
67 dev Id: 51eeda560f711ae0bb67b1503d145b07 | Hex Buffer: 060001092022563b784f8263fec0ca5782c195aec7ee29e90ecf8b1814 | Primer Entero: 151060486 
69 dev Id: 5c53843d53e88c5861f835f5e6ac7520 | Hex Buffer: 4c001007351f39b75b1d08 | Primer Entero: 118489164 
70 dev Id: 7417f39b90d71714ac2332f396036350 | Hex Buffer: 4c0010050298760df3 | Primer Entero: 84934732 
71 dev Id: 9c8c6a617a33eb4c0af9a31598cec80f | Hex Buffer: 4c00160800fdd2361ad3b0d6 | Primer Entero: 135659596 
72 dev Id: c0488da70306c6f3802dbe02114b07ba | Hex Buffer: 4c0016080017de2ae4398b2c | Primer Entero: 135659596 
73 dev Id: ebfaef02737e523328d4917e65cae13a | Hex Buffer: 0600010920227040cb9402e5dd23ce0199507c0f4516f64d55bfede487 | Primer Entero: 151060486 
74 dev Id: c0488da70306c6f3802dbe02114b07ba | Hex Buffer: 4c0016080017de2ae4398b2c | Primer Entero: 135659596 
75 dev Id: d758be90665c4c86142e6c33c5be6762 | Hex Buffer: 4c001007361fcc3a83bd18 | Primer Entero: 118489164 
76 dev Id: f7bef88c5b2e0b2059031ae763a88922 | Hex Buffer: 4c00090603900a6d44c4 | Primer Entero: 101253196 
77 dev Id: ad47dbf265c7eda405f524480c6f8c35 | Hex Buffer: 060001092022ac20093b14af2bb990acb8c18992effd6638113e1dfc51 | Primer Entero: 151060486 
78 dev Id: 8690f0617077f7c366edfed4c317f657 | Hex Buffer: 0600010f2022306f18bdd3dfedcf584371742f43932b00e59e49bb686e | Primer Entero: 251723782 
81 dev Id: a78d0e1f5b0e293a0dced2a95f50f5cc | Hex Buffer: 4c001608006e50c37ead6ae3 | Primer Entero: 135659596 
83 dev Id: 6a1382ddfe10693fd479c097b1543837 | Hex Buffer: 4c000c0e007f31dd6dc28b6414b63a13e5fc1006401daeca9968 | Primer Entero: 235667532 
